SBD, Toan, Van, Ly, Hoa, Sinh, Anh
19000734,8.6,7.5,6.25,4.25,5.25,8.8
19000735,8.6,5.75,7.5,8.5,4.25,6.6
19000736,7.2,5.5,6.25,3,3.75,9.6
19000737,9,6.75,8,3.25,3.75,9.2
19000738,8.8,7.5,8,2.75,4.75,9.4
19000739,7.6,5.5,4.75,3.5,3.75,8
19000741,8.8,8,8,8.5,9.5,3.6
19000743,9.2,7.75,8,4.75,6,9.6
19000746,8.8,4.75,8.25,2.25,4.75,9.6
19000747,8.4,4.75,7.5,6.75,4.5,6.4
19000748,8,4.5,6,3.25,4.25,9.4
19000749,8,7.25,8.25,4.5,5.5,8.6
19000750,8,7.75,8,6,5,9
19000751,7.6,7.5,7.75,7.75,4.25,7.8
19000752,8.6,7,8,7.25,4,9.2
19000753,9,7,8.25,8.75,6.75,9.2
19000754,7.8,8,6,8.25,6.75,9.4
19000759,8.2,5,7,8,4.5,6
19000760,9.2,7.5,8.75,3.5,3,9.8
19000762,8.6,5.5,8,5.25,5.75,9
19000763,9,5.5,8.25,2.75,1.75,9.4
19000764,8.4,7.75,8.25,9,5.25,9.4
19000766,9,5.5,7.75,3.25,3,8.8
19000767,8.4,7.5,8.5,4.25,6.5,9.8
19000768,8.8,6.5,8.25,4,3.75,9.2
19000770,8.4,8,8,5.25,5.25,9.4
19000772,8.2,7.25,8.25,4,3,9.6
19000781,8,6.25,7.5,7,3,5.2
19000783,8.6,7,7.25,3,1.75,9.4
19000790,9,7.75,7.75,3.75,4.25,8.6
19000793,8.6,7.25,8.5,9,4.5,9
19000800,8,8,8,5.5,5,9.2
19000801,7.4,7.25,5.75,6,4.25,9.4
19000802,8.4,7,7.5,6.25,4.75,8.2
19000804,8.2,7.25,8.25,4.25,5.25,9
19000805,8.6,8.5,5.25,7.25,7.75,3.6
19000806,8.2,4.5,8,4.5,3,9.4
19000807,8.6,5.5,7.75,9,4.75,7.2
19000808,9.2,6,8,5.25,5.25,9.6
19000810,8.8,6.75,8,5.25,4.75,7.8
19000811,7.2,4.5,5.5,5.25,4.75,7.8
19000814,7.4,6,5.25,4,2,7
19000815,7.6,6,4.25,6.5,6.5,3
19000816,8.8,6,5.75,4,3.75,8.6
19000817,8.8,6.75,8.25,9.25,7.5,9
19000818,8.4,8,4.75,4.75,5.5,9
19000819,7.8,7.5,8,8.75,5.25,8
19000820,9,5.25,8.5,5.5,3,9
19000822,8.4,7.25,8.25,9.5,6.25,6.8
19000825,8.6,7,7.5,5,5.5,9.4
19000828,8.6,6.75,7.5,7.5,4.75,7
19000829,8.4,8,7.25,5.5,5.25,8.8
19000831,8.4,3.5,8.5,5.25,4.5,9.8
19000833,8.8,4.75,7.75,5.5,5.75,9.6
19000834,8.6,7.25,8.25,8.75,6,8
19000835,8,6.25,7.25,4.5,4,9.4
19000837,8,4,8,5.25,4,9.8
19000838,7.8,5.25,7.25,3.25,5.5,9.6
19000840,9,6.75,6.75,5,2.25,9.4
19000843,9,6.5,8,9.75,5.25,7.4
19000845,6.2,6,7,7.5,5,7
19000846,8.2,7.75,6.75,5.75,5.75,9
19000847,8.8,5.5,5.75,9.75,9.75,7.8
19000848,8.8,7,8.25,5.75,3.25,9.6
19000852,9.2,6,8,4.5,4,9.6
19000854,7.6,6.5,4,4.25,3.75,9.2
19000855,9,8.5,8,6.75,6.75,9.4
19000857,8,8.75,7.75,7.75,5.75,7.6
19000865,8.4,5.5,7.25,6.25,5.5,9.8
19000866,8.4,5.5,7.25,6.25,5.5,9.4
19000868,8.8,7,7.5,3.25,3.25,9.8
19000874,9,7.75,7,7.75,6,6
19000876,7.6,7.75,4,8.75,8.5,6
19000878,9.2,7.75,8.5,9.5,6.75,9.4
19000881,8.6,5,7.5,8.5,7.25,6
19000883,8.4,6.5,8.25,8.75,6.5,8.4
19000884,8.4,5.5,7.25,5,4.5,8.8
19000885,8.2,4.25,7.5,6,4.25,9.2
19000887,8,6.25,5.25,4.25,4,7
19000888,8.2,7.75,8,9,5,8.6
19000889,9,8.5,6.5,5.5,6.25,9.2
19000890,7.4,6.75,6.75,6,5.25,9.4
19000893,8.4,6.75,7.5,5.75,5.25,9.2
19000895,8.4,6,8,3,3.75,9
19000896,8.6,8,8,8.5,5.25,4.6
19000898,8,8.25,8.5,4.75,4,8.6
19000900,9,6.5,8.25,3.5,4.5,9.2
19000901,8.4,6.75,8.25,4.5,4.25,9
19000903,9,7.5,7.75,6,7.75,8.4
19000904,8,7.25,7.25,8,4.25,7.2
19000905,8.8,7.5,6.75,8.5,4.25,8.4
19000906,7.8,6,7.25,7,7.25,5
19000907,8.2,8.5,7.75,5.25,6,9
19000908,8,8.25,7,6.25,4.75,9.6
19000909,8.6,7.75,8.25,8.5,6,8.8
19000910,8.6,7,5.75,8.5,9,6.8
19000912,7.8,6,7,7.75,7.5,6.6
19000913,8.6,6.25,6.5,3.75,3,8.4
19000914,7.2,6.5,5.25,5.5,2.25,5
19000915,8.2,5.25,7.25,2.75,5,8.8
19000916,9.4,6,8,6.25,4.75,9.8
19000918,9.6,5.75,8.5,6.25,5.25,9.4
19000919,7.6,7.75,8,4.75,4.5,8.6
19000920,7.4,6.5,7.75,3.5,3.25,9.8
19000922,9,8,8.25,5.25,4,9.6
19000923,7.6,7.75,7.25,6.25,4.5,4.2
19000924,6.2,6,4.5,4,1.25,5.8
19000926,8.8,5,8,3.5,3.5,9.2
19000927,9,7.25,8,2.75,5.75,9.8
19000930,9,7.5,8.75,5.5,4.25,10
19000931,8,7.5,6,4.75,3.75,9.6
19000932,8.6,8.75,8.25,8.5,3.5,6.4
19000933,7,7.75,6.75,7.25,6.25,9.8
19000935,7.8,5,5,8.25,8.5,7.4
19000942,8.6,8,7.75,6.75,4,9.8
19000943,8.6,7.25,8.5,9,7.75,8.4
19000944,8.4,7.25,8,4,6,9.8
19000945,8.6,6.25,6.25,8.5,6.25,7.8
19000946,8,5.25,6.5,5.25,7.5,9.4
19000947,7.8,6.25,7.5,5,4.25,9.8
19000948,8,6.75,5.25,5.5,3.5,9.6
19000949,6,6.75,6.75,4.5,4.25,9.2
19000950,6.6,4,5.25,5.5,3.5,3.2
19000951,8.8,4.75,7.5,5.75,5.25,9.8
19000953,8.2,7,5.5,4.25,5.25,9.2
19000954,9.4,5,8.5,4,4.75,8.6
19000955,8.6,4.75,7.75,9.5,3.25,8.2
19000956,8.6,5,9,8.75,3.25,5.8
19000958,8.2,5.75,7,6,5.75,9
19000959,8.8,8,7.25,7.75,5,8.4
19000960,8.6,7.25,6.75,4,5,10
19000961,8.4,7.25,7.75,4.25,3.75,8.6
19000967,8.4,4.75,8.25,8.25,5,8.8
19000970,9,7.75,5.75,7.5,7,9
19000977,8.4,7,6.5,7.5,6,8.6
19000978,8.8,6.5,6.25,8.75,7.75,8.2
19000979,7,7.75,7.25,6,5.25,9.4
19000988,8.8,6.25,8,7.5,6.75,10
19000989,9.2,6.25,8,4.25,4.25,10
